Year,Make,Model,Series,Style,Covered?,Fuel Type,Classification,MPGe (Note that this is electric mpge for PHEVs),Miles per kWh,Miles per gallon,Total Range,Capacity (kWh),,,,,,,,,,,,,
2021,Volvo,XC90,T8 - Inscription,4D SUV 6Pass PHEV,1,Premium and Electricity,PHEV,55,1.63,26.8412,18,11.0,,,,,,,,,,,,,
2021,Volvo,XC90,T8 - Inscription,4D SUV 7Pass PHEV,1,Premium and Electricity,PHEV,55,1.63,26.8412,18,11.0,,,,,,,,,,,,,
2021,Volvo,XC90,T8 - Inscription Exp,4D SUV 6Pass PHEV,1,Premium and Electricity,PHEV,55,1.63,26.8412,18,11.0,,,,,,,,,,,,,
2021,Volvo,XC90,T8 - Inscription Exp,4D SUV 7Pass PHEV,1,Premium and Electricity,PHEV,55,1.63,26.8412,18,11.0,,,,,,,,,,,,,
2021,Volvo,XC90,T8 - R-Design,4D SUV 7Pass PHEV,1,Premium and Electricity,PHEV,55,1.63,26.8412,18,11.0,,,,,,,,,,,,,
2020,Volvo,XC60,T8 - Inscription,4D SUV PHEV,1,Premium and Electricity,PHEV,57,1.69,26.6,19,11.2,,,,,,,,,,,,,
2020,Volvo,XC60,T8 - Momentum,4D SUV PHEV,1,Premium and Electricity,PHEV,57,1.69,26.6,19,11.2,,,,,,,,,,,,,
2020,Volvo,XC60,T8 - Polestar,4D SUV PHEV,1,Premium and Electricity,PHEV,57,1.69,26.6,19,11.2,,,,,,,,,,,,,
2020,Volvo,XC60,T8 - R-Design,4D SUV PHEV,1,Premium and Electricity,PHEV,57,1.69,26.6,19,11.2,,,,,,,,,,,,,
2020,Volvo,XC90,T8 - Inscription,4D SUV PHEV,1,Premium and Electricity,PHEV,55,1.63,26.8,18,11.0,,,,,,,,,,,,,
2020,Volvo,XC90,T8 - Momentum,4D SUV PHEV,1,Premium and Electricity,PHEV,55,1.63,26.8,18,11.0,,,,,,,,,,,,,
2020,Volvo,XC90,T8 - R-Design,4D SUV PHEV,1,Premium and Electricity,PHEV,55,1.63,26.8,18,11.0,,,,,,,,,,,,,
2019,Volvo,XC60,T8 - Inscription,4D SUV PHEV,1,Premium and Electricity,PHEV,58,1.72,26.1,17,9.9,,,,,,,,,,,,,
2019,Volvo,XC60,T8 - Momentum,4D SUV PHEV,1,Premium and Electricity,PHEV,58,1.72,26.1,17,9.9,,,,,,,,,,,,,
2019,Volvo,XC60,T8 - R-Design,4D SUV PHEV,1,Premium and Electricity,PHEV,58,1.72,26.1,17,9.9,,,,,,,,,,,,,
2019,Volvo,XC90,T8 - Excellence,4D SUV PHEV,1,Premium and Electricity,PHEV,58,1.72,25.3,17,9.9,,,,,,,,,,,,,
2019,Volvo,XC90,T8 - Inscription,4D SUV PHEV,1,Premium and Electricity,PHEV,58,1.72,25.3,17,9.9,,,,,,,,,,,,,
2019,Volvo,XC90,T8 - Momentum,4D SUV PHEV,1,Premium and Electricity,PHEV,58,1.72,25.3,17,9.9,,,,,,,,,,,,,
2019,Volvo,XC90,T8 - R-Design,4D SUV PHEV,1,Premium and Electricity,PHEV,58,1.72,25.3,17,9.9,,,,,,,,,,,,,
2018,Volvo,XC90,T8 - Inscription,4D SUV PHEV,1,Premium and Electricity,PHEV,62,1.84,27.4,19,10.3,,,,,,,,,,,,,
2018,Volvo,XC90,T8 - Momentum,4D SUV PHEV,1,Premium and Electricity,PHEV,62,1.84,27.4,19,10.3,,,,,,,,,,,,,
2018,Volvo,XC90,T8 - R-Design,4D SUV PHEV,1,Premium and Electricity,PHEV,62,1.84,27.4,19,10.3,,,,,,,,,,,,,
